nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02  1.968777925E-01  9.735591904E-02 
         2 -2.714446783E-01 -4.226166010E-02  1.831460970E-01  9.466432502E-02 
         3 -2.963235974E-01 -4.224075377E-02  2.114059803E-01  1.002553404E-01 
         4 -2.586256266E-01 -4.218071699E-02  1.701454225E-01  9.217244039E-02 
         5 -3.083600998E-01 -4.213083908E-02  2.268289957E-01  1.033724429E-01 
         6 -2.455694675E-01 -4.204400629E-02  1.577750378E-01  8.987094718E-02 
         7 -3.201129436E-01 -4.194915667E-02  2.432869188E-01  1.067150093E-01 
         8 -2.322884947E-01 -4.185510427E-02  1.459533655E-01  8.774823222E-02 
         9 -3.315711021E-01 -4.169164598E-02  2.608987004E-01  1.102870457E-01 
        10 -2.187952399E-01 -4.161734879E-02  1.346138504E-01  8.579242299E-02 
        11 -3.427239954E-01 -4.135438800E-02  2.797984435E-01  1.140905667E-01 
        12 -2.051024437E-01 -4.133373499E-02  1.236972520E-01  8.399153499E-02 
        13 -1.912230253E-01 -4.100695625E-02  1.131517760E-01  8.233366877E-02 
        14 -3.535613120E-01 -4.093370214E-02  3.001315657E-01  1.181241498E-01 
        15 -1.771701276E-01 -4.063934088E-02  1.029330669E-01  8.080682567E-02 
        16 -3.640724421E-01 -4.042622447E-02  3.220487113E-01  1.223810325E-01 
        17 -1.629570127E-01 -4.023287073E-02  9.300382370E-02  7.939906698E-02 
        18 -3.742481470E-01 -3.982891887E-02  3.457101879E-01  1.268496273E-01 
        19 -1.485971659E-01 -3.978922963E-02  8.333308257E-02  7.809922069E-02 
        20 -1.341041476E-01 -3.930979967E-02  7.389547437E-02  7.689661330E-02 
        21 -3.840791285E-01 -3.913921863E-02  3.712889826E-01  1.315115897E-01 
        22 -1.194916666E-01 -3.879569471E-02  6.467087424E-02  7.578064637E-02 
        23 -3.935564756E-01 -3.835509717E-02  3.989614045E-01  1.363380766E-01 
        24 -1.047735587E-01 -3.824780881E-02  5.564385908E-02  7.474176646E-02 
        25 -8.996371925E-02 -3.766696155E-02  4.680277665E-02  7.377160258E-02 
        26 -4.026716352E-01 -3.747503087E-02  4.289058149E-01  1.412869918E-01 
        27 -7.507614046E-02 -3.705378622E-02  3.813906202E-02  7.286217230E-02 
        28 -4.114164710E-01 -3.649814054E-02  4.613112413E-01  1.462968460E-01 
        29 -6.012484059E-02 -3.640896827E-02  2.964682689E-02  7.200663669E-02 
        30 -4.512390867E-02 -3.573317826E-02  2.132212180E-02  7.119920069E-02 
        31 -4.197832644E-01 -3.542415425E-02  4.963567669E-01  1.512795085E-01 
        32 -3.008742630E-02 -3.502721712E-02  1.316218283E-02  7.043507793E-02 
        33 -1.502949465E-02 -3.429204226E-02  5.165075872E-03  6.971086943E-02 
