nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -5.764672100E-01  1.280503467E-02 
         2 -2.714446783E-01 -4.226166010E-02 -5.589695379E-01  1.087892189E-02 
         3 -2.963235974E-01 -4.224075377E-02 -5.948737155E-01  1.497950864E-02 
         4 -2.586256266E-01 -4.218071699E-02 -5.422942561E-01  9.168287951E-03 
         5 -3.083600998E-01 -4.213083908E-02 -6.141689128E-01  1.743923342E-02 
         6 -2.455694675E-01 -4.204400629E-02 -5.263917993E-01  7.647165493E-03 
         7 -3.201129436E-01 -4.194915667E-02 -6.343683218E-01  2.022000748E-02 
         8 -2.322884947E-01 -4.185510427E-02 -5.111898765E-01  6.291590127E-03 
         9 -3.315711021E-01 -4.169164598E-02 -6.555112935E-01  2.336508644E-02 
        10 -2.187952399E-01 -4.161734879E-02 -4.966351985E-01  5.086295640E-03 
        11 -3.427239954E-01 -4.135438800E-02 -6.776260828E-01  2.692463473E-02 
        12 -2.051024437E-01 -4.133373499E-02 -4.827716983E-01  4.013264287E-03 
        13 -1.912230253E-01 -4.100695625E-02 -4.695471354E-01  3.052654296E-03 
        14 -3.535613120E-01 -4.093370214E-02 -7.007416360E-01  3.095625395E-02 
        15 -1.771701276E-01 -4.063934088E-02 -4.569232858E-01  2.191626340E-03 
        16 -3.640724421E-01 -4.042622447E-02 -7.248757739E-01  3.552730869E-02 
        17 -1.629570127E-01 -4.023287073E-02 -4.448661092E-01  1.418923398E-03 
        18 -3.742481470E-01 -3.982891887E-02 -7.500301388E-01  4.071518957E-02 
        19 -1.485971659E-01 -3.978922963E-02 -4.333472494E-01  7.256860762E-04 
        20 -1.341041476E-01 -3.930979967E-02 -4.223316849E-01  2.952961564E-04 
        21 -3.840791285E-01 -3.913921863E-02 -7.761997770E-01  4.660872304E-02 
        22 -1.194916666E-01 -3.879569471E-02 -4.118013250E-01  4.591602620E-04 
        23 -3.935564756E-01 -3.835509717E-02 -8.033680026E-01  5.331253616E-02 
        24 -1.047735587E-01 -3.824780881E-02 -4.017433728E-01  9.695257099E-04 
        25 -8.996371925E-02 -3.766696155E-02 -3.921205741E-01  1.434680266E-03 
        26 -4.026716352E-01 -3.747503087E-02 -8.314978361E-01  6.095028269E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.829093870E-01  1.858254667E-03 
        28 -4.114164710E-01 -3.649814054E-02 -8.605285519E-01  6.966895642E-02 
        29 -6.012484059E-02 -3.640896827E-02 -3.740936757E-01  2.243348664E-03 
        30 -4.512390867E-02 -3.573317826E-02 -3.656556722E-01  2.594395719E-03 
        31 -4.197832644E-01 -3.542415425E-02 -8.903684258E-01  7.964503291E-02 
        32 -3.008742630E-02 -3.502721712E-02 -3.575777843E-01  2.914945364E-03 
        33 -1.502949465E-02 -3.429204226E-02 -3.498440163E-01  3.207790829E-03 
        34 -4.277647436E-01 -3.425348923E-02 -9.208846400E-01  9.109163196E-02 
        35  3.580834164E-05 -3.352881595E-02 -3.424384696E-01  3.475363426E-03 
        36 -4.353540540E-01 -3.298716620E-02 -9.518895022E-01  1.042675164E-01 
        37  1.509429049E-02 -3.273893893E-02 -3.353480331E-01  3.719777957E-03 
        38  3.013208508E-02 -3.192408383E-02 -3.285587144E-01  3.943092374E-03 
        39 -4.425447881E-01 -3.162691370E-02 -9.831234497E-01  1.194898744E-01 
        40  4.513527080E-02 -3.108621016E-02 -3.220566273E-01  4.146710109E-03 
        41  6.009000912E-02 -3.022756800E-02 -3.158320007E-01  4.332289128E-03 
        42 -4.493310452E-01 -3.017505258E-02 -1.014227638E+00  1.371508471E-01 
        43  7.498254627E-02 -2.935070172E-02 -3.098705186E-01  4.501297714E-03 
        44 -4.557074606E-01 -2.863452956E-02 -1.044702346E+00  1.577384980E-01 
        45  8.979925513E-02 -2.845839225E-02 -3.041616809E-01  4.654552428E-03 
        46  1.045266315E-01 -2.755367383E-02 -2.986971349E-01  4.793553913E-03 
        47 -4.616691172E-01 -2.700886689E-02 -1.073845444E+00  1.818576809E-01 
        48  1.191513166E-01 -2.663973905E-02 -2.934642125E-01  4.919630383E-03 
        49  1.336601228E-01 -2.571990341E-02 -2.884519361E-01  5.033008881E-03 
        50 -4.672116637E-01 -2.530207112E-02 -1.100686906E+00  2.102608567E-01 
        51  1.480400264E-01 -2.479755506E-02 -2.836551411E-01  5.134666672E-03 
        52  1.622782052E-01 -2.387607098E-02 -2.790640025E-01  5.226519576E-03 
        53 -4.723313749E-01 -2.351857908E-02 -1.123872263E+00  2.438948205E-01 
        54  1.763620377E-01 -2.295874432E-02 -2.746647167E-01  5.308955204E-03 
        55  1.902790964E-01 -2.204874158E-02 -2.704525239E-01  5.381962206E-03 
        56 -4.770250618E-01 -2.166313864E-02 -1.141432089E+00  2.838883533E-01 
        57  2.040172368E-01 -2.114900947E-02 -2.664211590E-01  5.446784603E-03 
        58  2.175645083E-01 -2.026221529E-02 -2.625614007E-01  5.504418341E-03 
        59 -4.812902212E-01 -1.974073239E-02 -1.150630717E+00  3.316381221E-01 
        60  2.309092581E-01 -1.939071715E-02 -2.588686956E-01  5.556165774E-03 
        61  2.440401018E-01 -1.853648201E-02 -2.553315346E-01  5.602944102E-03 
        62 -4.851250350E-01 -1.775623858E-02 -1.147348868E+00  3.886520193E-01 
        63  2.569459379E-01 -1.770109311E-02 -2.519424458E-01  5.644156687E-03 
        64  2.696159482E-01 -1.688570529E-02 -2.487003188E-01  5.680106654E-03 
        65  2.820396721E-01 -1.609103382E-02 -2.456020759E-01  5.712919992E-03 
        66 -4.885282218E-01 -1.571426727E-02 -1.125594287E+00  4.565549449E-01 
        67  2.942069471E-01 -1.531737484E-02 -2.426393470E-01  5.744738456E-03 
        68  3.061079085E-01 -1.456463337E-02 -2.398035836E-01  5.776475732E-03 
        69  3.177331090E-01 -1.383232791E-02 -2.370887080E-01  5.808389384E-03 
        70 -4.914990962E-01 -1.361857820E-02 -1.076882595E+00  5.365354267E-01 
        71  3.290735483E-01 -1.311965287E-02 -2.344899553E-01  5.840770208E-03 
        72  3.401204944E-01 -1.242553815E-02 -2.320052726E-01  5.874922837E-03 
        73  3.508657217E-01 -1.174870133E-02 -2.296281340E-01  5.912858403E-03 
        74 -4.940368831E-01 -1.147159934E-02 -9.890624133E-01  6.277826490E-01 
        75  3.613013029E-01 -1.108772680E-02 -2.273486828E-01  5.955311495E-03 
        76  3.714197874E-01 -1.044113748E-02 -2.251600333E-01  6.001787009E-03 
        77  3.812142015E-01 -9.807454422E-03 -2.230560594E-01  6.051620760E-03 
        78 -4.961396158E-01 -9.273828939E-03 -8.462599594E-01  7.247192929E-01 
        79  3.906779587E-01 -9.185299277E-03 -2.210288088E-01  6.103467477E-03 
        80  3.998049796E-01 -8.573430590E-03 -2.190722073E-01  6.155474074E-03 
        81  4.085896015E-01 -7.970834151E-03 -2.171703097E-01  6.202557790E-03 
        82  4.170267582E-01 -7.376762107E-03 -2.153150193E-01  6.234935120E-03 
        83 -4.978021979E-01 -7.023616228E-03 -6.343225090E-01  8.133414999E-01 
        84  4.251117706E-01 -6.790784188E-03 -2.134994249E-01  6.238904468E-03 
        85  4.328405559E-01 -6.212810520E-03 -2.117305059E-01  6.198889156E-03 
        86  4.402094483E-01 -5.643141456E-03 -2.100190583E-01  6.100862047E-03 
        87  4.472154081E-01 -5.082427524E-03 -2.083682603E-01  5.928909155E-03 
        88 -4.990133345E-01 -4.718801472E-03 -3.505733820E-01  8.699271397E-01 
        89  4.538559020E-01 -4.531715997E-03 -2.067847015E-01  5.661678554E-03 
        90  4.601289034E-01 -3.992382903E-03 -2.052773770E-01  5.270748307E-03 
        91  4.660329819E-01 -3.466149326E-03 -2.038661435E-01  4.720296007E-03 
        92  4.715673029E-01 -2.955005970E-03 -2.025627314E-01  3.958003431E-03 
        93  4.767314792E-01 -2.461175201E-03 -2.014477971E-01  2.912264906E-03 
        94 -4.997532666E-01 -2.363638487E-03 -5.856056450E-03  8.637028310E-01 
        95  4.815258086E-01 -1.987064257E-03 -2.006185740E-01  1.495907698E-03 
        96  4.859511554E-01 -1.535162795E-03 -2.001243120E-01  1.142471071E-03 
        97  4.900089204E-01 -1.108038821E-03 -2.000884957E-01  3.495459299E-03 
        98  4.937011302E-01 -7.082165685E-04 -2.017523603E-01  9.217716498E-03 
        99  4.970304072E-01 -3.381129063E-04 -2.154264658E-01  2.604171976E-02 
       100 -5.000000000E-01  0.000000000E+00  3.291952644E-01  7.777423611E-01 
       101  5.000000000E-01  0.000000000E+00 -2.291395748E-01  4.951580788E-02 
       102  4.970304668E-01  7.202737033E-04 -2.245163461E-01  5.233716293E-02 
       103  4.937012494E-01  1.519259415E-03 -2.154704595E-01  3.988313986E-02 
       104  4.900090992E-01  2.394983778E-03 -2.149257205E-01  3.652983587E-02 
       105 -4.997532666E-01  3.027264494E-03  6.518450313E-01  6.116300568E-01 
       106  4.859513938E-01  3.345148871E-03 -2.155317220E-01  3.540046179E-02 
       107  4.815261662E-01  4.367166199E-03 -2.162655807E-01  3.511306095E-02 
       108  4.767318964E-01  5.458110943E-03 -2.169762654E-01  3.516568306E-02 
       109 -4.990133643E-01  6.050519180E-03  8.696606257E-01  4.464784256E-01 
       110  4.715678096E-01  6.614865735E-03 -2.176605243E-01  3.539447640E-02 
       111  4.660336077E-01  7.834118791E-03 -2.183220587E-01  3.572728385E-02 
       112 -4.978022575E-01  9.022734128E-03  1.017139133E+00  2.970458846E-01 
       113  4.601296484E-01  9.112386964E-03 -2.189617125E-01  3.612448282E-02 
       114  4.538567364E-01  1.044614054E-02 -2.195790851E-01  3.656331941E-02 
       115  4.472163916E-01  1.183174737E-02 -2.201720488E-01  3.703020232E-02 
       116 -4.961394370E-01  1.194464508E-02  1.100196283E+00  1.698066920E-01 
       117  4.402105510E-01  1.326562278E-02 -2.207370488E-01  3.751662416E-02 
       118  4.328417778E-01  1.474419516E-02 -2.212696427E-01  3.801664635E-02 
       119 -4.940359890E-01  1.482449938E-02  1.126190569E+00  6.841094191E-02 
       120  4.251131713E-01  1.626393571E-02 -2.217653019E-01  3.852567617E-02 
       121 -4.914970994E-01  1.766939834E-02  1.116770782E+00  3.290119219E-02 
       122  4.170282781E-01  1.782147214E-02 -2.222198445E-01  3.904042521E-02 
       123  4.085913002E-01  1.941351779E-02 -2.226295717E-01  3.955827693E-02 
       124 -4.885247946E-01  2.048372477E-02  1.083610752E+00  6.734856688E-02 
       125  3.998067975E-01  2.103693970E-02 -2.229916037E-01  4.007717519E-02 
       126  3.906799555E-01  2.268878371E-02 -2.233038970E-01  4.059593506E-02 
       127 -4.851200283E-01  2.326918580E-02  1.034700523E+00  1.095303790E-01 
       128  3.812163770E-01  2.436624095E-02 -2.235652095E-01  4.111388255E-02 
       129 -4.812836945E-01  2.602553554E-02  9.770891985E-01  1.388756012E-01 
       130  3.714221418E-01  2.606668323E-02 -2.237751344E-01  4.163103703E-02 
       131  3.613038361E-01  2.778763883E-02 -2.239340093E-01  4.214797131E-02 
       132 -4.770171046E-01  2.875127271E-02  9.149934721E-01  1.585396482E-01 
       133  3.508684337E-01  2.952674031E-02 -2.240427811E-01  4.266558616E-02 
       134  3.401234150E-01  3.128179163E-02 -2.241028620E-01  4.318558521E-02 
       135 -4.723221362E-01  3.144402429E-02  8.512385418E-01  1.710737105E-01 
       136  3.290766776E-01  3.305066004E-02 -2.241162697E-01  4.371025316E-02 
       137 -4.672012925E-01  3.410093114E-02  7.877607424E-01  1.784331518E-01 
       138  3.177364469E-01  3.483127803E-02 -2.240852472E-01  4.424206451E-02 
       139  3.061114550E-01  3.662162274E-02 -2.240115560E-01  4.478421575E-02 
       140 -4.616577625E-01  3.671871126E-02  7.257852220E-01  1.820927427E-01 
       141  2.942107320E-01  3.841964900E-02 -2.238969417E-01  4.534012469E-02 
       142 -4.556952715E-01  3.929393366E-02  6.659822379E-01  1.831259004E-01 
       143  2.820436656E-01  4.022327065E-02 -2.237429165E-01  4.591339720E-02 
       144 -4.493182003E-01  4.182294756E-02  6.087808905E-01  1.823036720E-01 
       145  2.696201801E-01  4.203031957E-02 -2.235499480E-01  4.650825964E-02 
       146  2.569503784E-01  4.383848608E-02 -2.233176059E-01  4.712886266E-02 
       147 -4.425313771E-01  4.430206120E-02  5.543631541E-01  1.801877556E-01 
       148  2.440447956E-01  4.564530775E-02 -2.230444347E-01  4.777955662E-02 
       149 -4.353401959E-01  4.672747105E-02  5.028112666E-01  1.771817305E-01 
       150  2.309141904E-01  4.744814336E-02 -2.227275691E-01  4.846487010E-02 
       151 -4.277505577E-01  4.909531772E-02  4.541689469E-01  1.736029791E-01 
       152  2.175696790E-01  4.924411327E-02 -2.223625939E-01  4.918931004E-02 
       153  2.040226460E-01  5.103011429E-02 -2.219433385E-01  4.995752351E-02 
       154 -4.197688401E-01  5.140164495E-02  4.082868322E-01  1.696926439E-01 
       155  1.902847588E-01  5.280276388E-02 -2.214616778E-01  5.077391791E-02 
       156 -4.114018679E-01  5.364257097E-02  3.649604411E-01  1.655887128E-01 
       157  1.763679385E-01  5.455838516E-02 -2.209074671E-01  5.164272781E-02 
       158 -4.026569426E-01  5.581409112E-02  3.241004549E-01  1.613749348E-01 
       159  1.622843742E-01  5.629306287E-02 -2.202684606E-01  5.256826690E-02 
       160 -3.935417831E-01  5.791228265E-02  2.855943024E-01  1.571231632E-01 
       161  1.480464488E-01  5.800256878E-02 -2.195299745E-01  5.355453098E-02 
       162  1.336667985E-01  5.968242139E-02 -2.186750241E-01  5.460519429E-02 
       163 -3.840644658E-01  5.993311107E-02  2.493132249E-01  1.528873645E-01 
       164  1.191582531E-01  6.132787466E-02 -2.176842260E-01  5.572383427E-02 
       165 -3.742335737E-01  6.187269092E-02  2.151301430E-01  1.487051402E-01 
       166  1.045338213E-01  6.293397397E-02 -2.165354691E-01  5.691363848E-02 
       167 -3.640580177E-01  6.372704357E-02  1.829285353E-01  1.446013810E-01 
       168  8.980670571E-02  6.449551880E-02 -2.152044931E-01  5.817726401E-02 
       169 -3.535470665E-01  6.549237669E-02  1.525946710E-01  1.405915715E-01 
       170  7.499026507E-02  6.600718200E-02 -2.136644192E-01  5.951725506E-02 
       171 -3.427099586E-01  6.716491282E-02  1.240249073E-01  1.366828881E-01 
       172  6.009799615E-02  6.746350229E-02 -2.118858295E-01  6.093565387E-02 
       173 -3.315572143E-01  6.874091923E-02  9.713144479E-02  1.328796225E-01 
       174  4.514352977E-02  6.885892153E-02 -2.098372308E-01  6.243409090E-02 
       175  3.014061600E-02  7.018789649E-02 -2.074847449E-01  6.401399368E-02 
       176 -3.200992048E-01  7.021684945E-02  7.182596905E-02  1.291828238E-01 
       177  1.510309801E-02  7.144483924E-02 -2.047923125E-01  6.567603044E-02 
       178 -3.083465099E-01  7.158929110E-02  4.802994952E-02  1.255898371E-01 
       179  4.489277853E-05  7.262428105E-02 -2.017222281E-01  6.742053737E-02 
       180 -2.963101566E-01  7.285507023E-02  2.567349102E-02  1.220975407E-01 
       181 -1.502013020E-02  7.372087240E-02 -1.982354237E-01  6.924777902E-02 
       182 -2.840012908E-01  7.401116192E-02  4.690568098E-03  1.187018943E-01 
       183 -3.007778712E-02  7.472943515E-02 -1.942907751E-01  7.115760557E-02 
       184 -2.714315355E-01  7.505487651E-02 -1.497845199E-02  1.153988644E-01 
       185 -4.511399940E-02  7.564499229E-02 -1.898458425E-01  7.314898093E-02 
       186 -2.586126029E-01  7.598371804E-02 -3.338773933E-02  1.121838171E-01 
       187 -6.011467054E-02  7.646284997E-02 -1.848578625E-01  7.522098518E-02 
       188 -2.455565929E-01  7.679554820E-02 -5.058832329E-02  1.090530489E-01 
       189 -7.506570965E-02  7.717871666E-02 -1.792832574E-01  7.737302049E-02 
       190 -2.322757840E-01  7.748860121E-02 -6.662914113E-02  1.060036558E-01 
       191 -8.995304257E-02  7.778854668E-02 -1.730775512E-01  7.960372728E-02 
