nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02  4.833601820E-01  9.220237412E-02 
         2 -2.714446783E-01 -4.226166010E-02  4.645010758E-01  9.066620449E-02 
         3 -2.963235974E-01 -4.224075377E-02  5.029350297E-01  9.381929606E-02 
         4 -2.586256266E-01 -4.218071699E-02  4.462984105E-01  8.921777196E-02 
         5 -3.083600998E-01 -4.213083908E-02  5.232900167E-01  9.550744064E-02 
         6 -2.455694675E-01 -4.204400629E-02  4.286844764E-01  8.786076599E-02 
         7 -3.201129436E-01 -4.194915667E-02  5.445039323E-01  9.725362578E-02 
         8 -2.322884947E-01 -4.185510427E-02  4.116012034E-01  8.659634266E-02 
         9 -3.315711021E-01 -4.169164598E-02  5.666480006E-01  9.903848219E-02 
        10 -2.187952399E-01 -4.161734879E-02  3.949944385E-01  8.542385294E-02 
        11 -3.427239954E-01 -4.135438800E-02  5.897878533E-01  1.008375223E-01 
        12 -2.051024437E-01 -4.133373499E-02  3.788152121E-01  8.434091040E-02 
        13 -1.912230253E-01 -4.100695625E-02  3.630195619E-01  8.334396931E-02 
        14 -3.535613120E-01 -4.093370214E-02  6.139953121E-01  1.026191916E-01 
        15 -1.771701276E-01 -4.063934088E-02  3.475689296E-01  8.242836068E-02 
        16 -3.640724421E-01 -4.042622447E-02  6.393301900E-01  1.043403168E-01 
        17 -1.629570127E-01 -4.023287073E-02  3.324299927E-01  8.158856820E-02 
        18 -3.742481470E-01 -3.982891887E-02  6.658299894E-01  1.059496218E-01 
        19 -1.485971659E-01 -3.978922963E-02  3.175742463E-01  8.081897282E-02 
        20 -1.341041476E-01 -3.930979967E-02  3.029781208E-01  8.011370999E-02 
        21 -3.840791285E-01 -3.913921863E-02  6.935463398E-01  1.073818620E-01 
        22 -1.194916666E-01 -3.879569471E-02  2.886223683E-01  7.946633966E-02 
        23 -3.935564756E-01 -3.835509717E-02  7.225081436E-01  1.085458562E-01 
        24 -1.047735587E-01 -3.824780881E-02  2.744920044E-01  7.887087327E-02 
        25 -8.996371925E-02 -3.766696155E-02  2.605756114E-01  7.832198032E-02 
        26 -4.026716352E-01 -3.747503087E-02  7.527151403E-01  1.093155634E-01 
        27 -7.507614046E-02 -3.705378622E-02  2.468646532E-01  7.781421213E-02 
        28 -4.114164710E-01 -3.649814054E-02  7.840108486E-01  1.095619675E-01 
        29 -6.012484059E-02 -3.640896827E-02  2.333534415E-01  7.734287701E-02 
        30 -4.512390867E-02 -3.573317826E-02  2.200383028E-01  7.690400825E-02 
        31 -4.197832644E-01 -3.542415425E-02  8.163335308E-01  1.091454822E-01 
        32 -3.008742630E-02 -3.502721712E-02  2.069168859E-01  7.649437140E-02 
        33 -1.502949465E-02 -3.429204226E-02  1.939877666E-01  7.611190914E-02 
        34 -4.277647436E-01 -3.425348923E-02  8.496176975E-01  1.078460347E-01 
        35  3.580834164E-05 -3.352881595E-02  1.812488992E-01  7.575527494E-02 
        36 -4.353540540E-01 -3.298716620E-02  8.836131156E-01  1.053650361E-01 
        37  1.509429049E-02 -3.273893893E-02  1.686987161E-01  7.542390028E-02 
        38  3.013208508E-02 -3.192408383E-02  1.563349223E-01  7.511834743E-02 
        39 -4.425447881E-01 -3.162691370E-02  9.179680086E-01  1.013320747E-01 
        40  4.513527080E-02 -3.108621016E-02  1.441530738E-01  7.484004108E-02 
        41  6.009000912E-02 -3.022756800E-02  1.321474828E-01  7.459117458E-02 
        42 -4.493310452E-01 -3.017505258E-02  9.521546628E-01  9.528834785E-02 
        43  7.498254627E-02 -2.935070172E-02  1.203106130E-01  7.437465466E-02 
        44 -4.557074606E-01 -2.863452956E-02  9.855682449E-01  8.663395571E-02 
        45  8.979925513E-02 -2.845839225E-02  1.086328591E-01  7.419391216E-02 
        46  1.045266315E-01 -2.755367383E-02  9.710257168E-02  7.405303838E-02 
        47 -4.616691172E-01 -2.700886689E-02  1.017301574E+00  7.456612955E-02 
        48  1.191513166E-01 -2.663973905E-02  8.570608918E-02  7.395635141E-02 
        49  1.336601228E-01 -2.571990341E-02  7.442792116E-02  7.390828638E-02 
        50 -4.672116637E-01 -2.530207112E-02  1.046091991E+00  5.803547176E-02 
        51  1.480400264E-01 -2.479755506E-02  6.325091614E-02  7.391355306E-02 
        52  1.622782052E-01 -2.387607098E-02  5.215653681E-02  7.397668348E-02 
        53 -4.723313749E-01 -2.351857908E-02  1.070175297E+00  3.569823556E-02 
        54  1.763620377E-01 -2.295874432E-02  4.112526718E-02  7.410189026E-02 
        55  1.902790964E-01 -2.204874158E-02  3.013700845E-02  7.429322399E-02 
        56 -4.770250618E-01 -2.166313864E-02  1.086593557E+00  1.644903602E-02 
        57  2.040172368E-01 -2.114900947E-02  1.917146262E-02  7.455417528E-02 
        58  2.175645083E-01 -2.026221529E-02  8.208752564E-03  7.488756989E-02 
        59 -4.812902212E-01 -1.974073239E-02  1.092766058E+00  3.278834291E-02 
        60  2.309092581E-01 -1.939071715E-02 -2.770205515E-03  7.529564105E-02 
        61  2.440401018E-01 -1.853648201E-02 -1.378313648E-02  7.577976116E-02 
        62 -4.851250350E-01 -1.775623858E-02  1.085250718E+00  8.363637720E-02 
        63  2.569459379E-01 -1.770109311E-02 -2.484593211E-02  7.634056585E-02 
        64  2.696159482E-01 -1.688570529E-02 -3.597225698E-02  7.697782628E-02 
        65  2.820396721E-01 -1.609103382E-02 -4.717297643E-02  7.769023827E-02 
        66 -4.885282218E-01 -1.571426727E-02  1.058161974E+00  1.498622102E-01 
        67  2.942069471E-01 -1.531737484E-02 -5.845590668E-02  7.847565746E-02 
