nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -3.956635302E-01  1.566284712E-02 
         2 -2.714446783E-01 -4.226166010E-02 -3.892938403E-01  1.510591885E-02 
         3 -2.963235974E-01 -4.224075377E-02 -4.026985862E-01  1.621273805E-02 
         4 -2.586256266E-01 -4.218071699E-02 -3.835194559E-01  1.454755219E-02 
         5 -3.083600998E-01 -4.213083908E-02 -4.104983276E-01  1.674365173E-02 
         6 -2.455694675E-01 -4.204400629E-02 -3.782924098E-01  1.399660850E-02 
         7 -3.201129436E-01 -4.194915667E-02 -4.191608203E-01  1.723735050E-02 
         8 -2.322884947E-01 -4.185510427E-02 -3.735384552E-01  1.346156617E-02 
         9 -3.315711021E-01 -4.169164598E-02 -4.287895308E-01  1.767241944E-02 
        10 -2.187952399E-01 -4.161734879E-02 -3.691996851E-01  1.294395725E-02 
        11 -3.427239954E-01 -4.135438800E-02 -4.394971688E-01  1.802518255E-02 
        12 -2.051024437E-01 -4.133373499E-02 -3.652418142E-01  1.244608608E-02 
        13 -1.912230253E-01 -4.100695625E-02 -3.616137109E-01  1.196957960E-02 
        14 -3.535613120E-01 -4.093370214E-02 -4.514348840E-01  1.826383355E-02 
        15 -1.771701276E-01 -4.063934088E-02 -3.582788424E-01  1.151185679E-02 
        16 -3.640724421E-01 -4.042622447E-02 -4.647537181E-01  1.834270721E-02 
        17 -1.629570127E-01 -4.023287073E-02 -3.552179381E-01  1.107233398E-02 
        18 -3.742481470E-01 -3.982891887E-02 -4.796040819E-01  1.820764085E-02 
        19 -1.485971659E-01 -3.978922963E-02 -3.524017590E-01  1.065214585E-02 
        20 -1.341041476E-01 -3.930979967E-02 -3.498025011E-01  1.025024985E-02 
        21 -3.840791285E-01 -3.913921863E-02 -4.961793906E-01  1.779197561E-02 
        22 -1.194916666E-01 -3.879569471E-02 -3.474017256E-01  9.864921978E-03 
        23 -3.935564756E-01 -3.835509717E-02 -5.147074886E-01  1.701228946E-02 
        24 -1.047735587E-01 -3.824780881E-02 -3.451823627E-01  9.495163063E-03 
        25 -8.996371925E-02 -3.766696155E-02 -3.431280145E-01  9.139841893E-03 
        26 -4.026716352E-01 -3.747503087E-02 -5.353976448E-01  1.577283604E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.412283255E-01  8.798342417E-03 
        28 -4.114164710E-01 -3.649814054E-02 -5.584810837E-01  1.395197230E-02 
        29 -6.012484059E-02 -3.640896827E-02 -3.394705960E-01  8.470663505E-03 
        30 -4.512390867E-02 -3.573317826E-02 -3.378461083E-01  8.157089884E-03 
        31 -4.197832644E-01 -3.542415425E-02 -5.843036630E-01  1.135853286E-02 
        32 -3.008742630E-02 -3.502721712E-02 -3.363454096E-01  7.858629966E-03 
        33 -1.502949465E-02 -3.429204226E-02 -3.349552216E-01  7.575375257E-03 
        34 -4.277647436E-01 -3.425348923E-02 -6.128132914E-01  7.833627347E-03 
        35  3.580834164E-05 -3.352881595E-02 -3.336717555E-01  7.307544481E-03 
        36 -4.353540540E-01 -3.298716620E-02 -6.443015772E-01  3.208776360E-03 
        37  1.509429049E-02 -3.273893893E-02 -3.324884999E-01  7.056955933E-03 
        38  3.013208508E-02 -3.192408383E-02 -3.313947488E-01  6.825018266E-03 
        39 -4.425447881E-01 -3.162691370E-02 -6.795997712E-01  3.538241125E-03 
        40  4.513527080E-02 -3.108621016E-02 -3.303846440E-01  6.612972408E-03 
        41  6.009000912E-02 -3.022756800E-02 -3.294489000E-01  6.422244041E-03 
        42 -4.493310452E-01 -3.017505258E-02 -7.187222114E-01  1.093293488E-02 
        43  7.498254627E-02 -2.935070172E-02 -3.285781408E-01  6.253464691E-03 
        44 -4.557074606E-01 -2.863452956E-02 -7.615846277E-01  2.139456071E-02 
        45  8.979925513E-02 -2.845839225E-02 -3.277645614E-01  6.106831990E-03 
        46  1.045266315E-01 -2.755367383E-02 -3.269999990E-01  5.982332184E-03 
        47 -4.616691172E-01 -2.700886689E-02 -8.084036287E-01  3.489372675E-02 
        48  1.191513166E-01 -2.663973905E-02 -3.262759931E-01  5.879417918E-03 
        49  1.336601228E-01 -2.571990341E-02 -3.255849262E-01  5.797012909E-03 
        50 -4.672116637E-01 -2.530207112E-02 -8.591771939E-01  5.226902936E-02 
        51  1.480400264E-01 -2.479755506E-02 -3.249195720E-01  5.733651380E-03 
        52  1.622782052E-01 -2.387607098E-02 -3.242732769E-01  5.687453066E-03 
        53 -4.723313749E-01 -2.351857908E-02 -9.136654613E-01  7.462102398E-02 
        54  1.763620377E-01 -2.295874432E-02 -3.236400921E-01  5.656174961E-03 
        55  1.902790964E-01 -2.204874158E-02 -3.230149631E-01  5.637338328E-03 
        56 -4.770250618E-01 -2.166313864E-02 -9.712084233E-01  1.034010898E-01 
        57  2.040172368E-01 -2.114900947E-02 -3.223935039E-01  5.628293223E-03 
        58  2.175645083E-01 -2.026221529E-02 -3.217718393E-01  5.626197872E-03 
        59 -4.812902212E-01 -1.974073239E-02 -1.030486704E+00  1.405127854E-01 
        60  2.309092581E-01 -1.939071715E-02 -3.211467694E-01  5.628005200E-03 
        61  2.440401018E-01 -1.853648201E-02 -3.205157944E-01  5.630449671E-03 
        62 -4.851250350E-01 -1.775623858E-02 -1.089072144E+00  1.884175775E-01 
        63  2.569459379E-01 -1.770109311E-02 -3.198773801E-01  5.630116364E-03 
