nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -4.537288433E-01  1.465321971E-02 
         2 -2.714446783E-01 -4.226166010E-02 -4.435825445E-01  1.459096996E-02 
         3 -2.963235974E-01 -4.224075377E-02 -4.647981329E-01  1.462624564E-02 
         4 -2.586256266E-01 -4.218071699E-02 -4.342697626E-01  1.445959324E-02 
         5 -3.083600998E-01 -4.213083908E-02 -4.768777666E-01  1.448611032E-02 
         6 -2.455694675E-01 -4.204400629E-02 -4.257124632E-01  1.427461114E-02 
         7 -3.201129436E-01 -4.194915667E-02 -4.900684992E-01  1.420627628E-02 
         8 -2.322884947E-01 -4.185510427E-02 -4.178391180E-01  1.404831400E-02 
         9 -3.315711021E-01 -4.169164598E-02 -5.044875762E-01  1.375509580E-02 
        10 -2.187952399E-01 -4.161734879E-02 -4.105909497E-01  1.379143383E-02 
        11 -3.427239954E-01 -4.135438800E-02 -5.202467854E-01  1.309194829E-02 
        12 -2.051024437E-01 -4.133373499E-02 -4.039079638E-01  1.351318160E-02 
        13 -1.912230253E-01 -4.100695625E-02 -3.977361172E-01  1.321959608E-02 
        14 -3.535613120E-01 -4.093370214E-02 -5.374767462E-01  1.216429885E-02 
        15 -1.771701276E-01 -4.063934088E-02 -3.920369825E-01  1.291698255E-02 
        16 -3.640724421E-01 -4.042622447E-02 -5.563243694E-01  1.090997473E-02 
        17 -1.629570127E-01 -4.023287073E-02 -3.867599222E-01  1.261037803E-02 
        18 -3.742481470E-01 -3.982891887E-02 -5.769576089E-01  9.264240166E-03 
        19 -1.485971659E-01 -3.978922963E-02 -3.818698805E-01  1.230250377E-02 
        20 -1.341041476E-01 -3.930979967E-02 -3.773328286E-01  1.199622719E-02 
        21 -3.840791285E-01 -3.913921863E-02 -5.995067129E-01  7.141150093E-03 
        22 -1.194916666E-01 -3.879569471E-02 -3.731182215E-01  1.169377664E-02 
        23 -3.935564756E-01 -3.835509717E-02 -6.239735920E-01  4.437231433E-03 
        24 -1.047735587E-01 -3.824780881E-02 -3.691958954E-01  1.139634544E-02 
        25 -8.996371925E-02 -3.766696155E-02 -3.655440687E-01  1.110496530E-02 
        26 -4.026716352E-01 -3.747503087E-02 -6.505430183E-01  1.846516023E-03 
        27 -7.507614046E-02 -3.705378622E-02 -3.621381996E-01  1.082063016E-02 
        28 -4.114164710E-01 -3.649814054E-02 -6.796406130E-01  3.148124727E-03 
        29 -6.012484059E-02 -3.640896827E-02 -3.589552451E-01  1.054282411E-02 
        30 -4.512390867E-02 -3.573317826E-02 -3.559803589E-01  1.027100689E-02 
        31 -4.197832644E-01 -3.542415425E-02 -7.113201541E-01  8.370111091E-03 
        32 -3.008742630E-02 -3.502721712E-02 -3.531946514E-01  1.000438018E-02 
        33 -1.502949465E-02 -3.429204226E-02 -3.505897371E-01  9.742740970E-03 
        34 -4.277647436E-01 -3.425348923E-02 -7.455741290E-01  1.482745656E-02 
        35  3.580834164E-05 -3.352881595E-02 -3.481472664E-01  9.485540725E-03 
        36 -4.353540540E-01 -3.298716620E-02 -7.825886670E-01  2.277850080E-02 
        37  1.509429049E-02 -3.273893893E-02 -3.458661388E-01  9.233192154E-03 
        38  3.013208508E-02 -3.192408383E-02 -3.437282127E-01  8.986663235E-03 
        39 -4.425447881E-01 -3.162691370E-02 -8.224508703E-01  3.255118560E-02 
        40  4.513527080E-02 -3.108621016E-02 -3.417234609E-01  8.744378783E-03 
        41  6.009000912E-02 -3.022756800E-02 -3.398549840E-01  8.507397447E-03 
        42 -4.493310452E-01 -3.017505258E-02 -8.652090310E-01  4.455671417E-02 
        43  7.498254627E-02 -2.935070172E-02 -3.381096984E-01  8.278062319E-03 
        44 -4.557074606E-01 -2.863452956E-02 -9.108030902E-01  5.932266872E-02 
        45  8.979925513E-02 -2.845839225E-02 -3.364807141E-01  8.057250350E-03 
        46  1.045266315E-01 -2.755367383E-02 -3.349654768E-01  7.847193851E-03 
        47 -4.616691172E-01 -2.700886689E-02 -9.590236255E-01  7.751402757E-02 
        48  1.191513166E-01 -2.663973905E-02 -3.335552064E-01  7.650835769E-03 
        49  1.336601228E-01 -2.571990341E-02 -3.322411569E-01  7.470362772E-03 
        50 -4.672116637E-01 -2.530207112E-02 -1.009474639E+00  9.997835360E-02 
        51  1.480400264E-01 -2.479755506E-02 -3.310167991E-01  7.308026561E-03 
        52  1.622782052E-01 -2.387607098E-02 -3.298734943E-01  7.166249564E-03 
        53 -4.723313749E-01 -2.351857908E-02 -1.061460821E+00  1.278146488E-01 
        54  1.763620377E-01 -2.295874432E-02 -3.288010448E-01  7.046872392E-03 
        55  1.902790964E-01 -2.204874158E-02 -3.277882193E-01  6.950665996E-03 
        56 -4.770250618E-01 -2.166313864E-02 -1.113788194E+00  1.624477098E-01 
        57  2.040172368E-01 -2.114900947E-02 -3.268254876E-01  6.877474687E-03 
        58  2.175645083E-01 -2.026221529E-02 -3.259039567E-01  6.826708162E-03 
        59 -4.812902212E-01 -1.974073239E-02 -1.164480370E+00  2.057043044E-01 
        60  2.309092581E-01 -1.939071715E-02 -3.250145478E-01  6.797311193E-03 
        61  2.440401018E-01 -1.853648201E-02 -3.241481042E-01  6.787511662E-03 
        62 -4.851250350E-01 -1.775623858E-02 -1.210354904E+00  2.598969007E-01 
        63  2.569459379E-01 -1.770109311E-02 -3.232958033E-01  6.794666752E-03 
        64  2.696159482E-01 -1.688570529E-02 -3.224496582E-01  6.815202628E-03 
        65  2.820396721E-01 -1.609103382E-02 -3.216032482E-01  6.844746191E-03 
        66 -4.885282218E-01 -1.571426727E-02 -1.246231964E+00  3.277215572E-01 
        67  2.942069471E-01 -1.531737484E-02 -3.207518490E-01  6.878453238E-03 
        68  3.061079085E-01 -1.456463337E-02 -3.198916661E-01  6.911101196E-03 
        69  3.177331090E-01 -1.383232791E-02 -3.190199813E-01  6.936963317E-03 
        70 -4.914990962E-01 -1.361857820E-02 -1.263993908E+00  4.120501262E-01 
        71  3.290735483E-01 -1.311965287E-02 -3.181355696E-01  6.949824220E-03 
        72  3.401204944E-01 -1.242553815E-02 -3.172387024E-01  6.943034161E-03 
        73  3.508657217E-01 -1.174870133E-02 -3.163314487E-01  6.909588453E-03 
        74 -4.940368831E-01 -1.147159934E-02 -1.250605396E+00  5.142850248E-01 
        75  3.613013029E-01 -1.108772680E-02 -3.154173935E-01  6.842195414E-03 
        76  3.714197874E-01 -1.044113748E-02 -3.145017228E-01  6.733258448E-03 
        77  3.812142015E-01 -9.807454422E-03 -3.135912343E-01  6.574895630E-03 
        78 -4.961396158E-01 -9.273828939E-03 -1.186982804E+00  6.334338417E-01 
        79  3.906779587E-01 -9.185299277E-03 -3.126941748E-01  6.358909506E-03 
        80  3.998049796E-01 -8.573430590E-03 -3.118203590E-01  6.076703137E-03 
        81  4.085896015E-01 -7.970834151E-03 -3.109811655E-01  5.719267413E-03 
        82  4.170267582E-01 -7.376762107E-03 -3.101886574E-01  5.276975374E-03 
        83 -4.978021979E-01 -7.023616228E-03 -1.050512851E+00  7.588097088E-01 
        84  4.251117706E-01 -6.790784188E-03 -3.094566996E-01  4.739672133E-03 
        85  4.328405559E-01 -6.212810520E-03 -3.087960848E-01  4.095549339E-03 
        86  4.402094483E-01 -5.643141456E-03 -3.082181010E-01  3.328958138E-03 
        87  4.472154081E-01 -5.082427524E-03 -3.077548043E-01  2.421973726E-03 
        88 -4.990133345E-01 -4.718801472E-03 -8.275156938E-01  8.661093013E-01 
        89  4.538559020E-01 -4.531715997E-03 -3.074268706E-01  1.352581740E-03 
        90  4.601289034E-01 -3.992382903E-03 -3.072929475E-01  6.680492490E-04 
        91  4.660329819E-01 -3.466149326E-03 -3.072874488E-01  1.373064851E-03 
        92  4.715673029E-01 -2.955005970E-03 -3.074017537E-01  3.150532688E-03 
        93  4.767314792E-01 -2.461175201E-03 -3.077491934E-01  5.339634397E-03 
        94 -4.997532666E-01 -2.363638487E-03 -5.129598849E-01  9.182260922E-01 
        95  4.815258086E-01 -1.987064257E-03 -3.083596439E-01  8.106080374E-03 
        96  4.859511554E-01 -1.535162795E-03 -3.092760189E-01  1.180178783E-02 
        97  4.900089204E-01 -1.108038821E-03 -3.108903808E-01  1.746154865E-02 
        98  4.937011302E-01 -7.082165685E-04 -3.154336450E-01  2.832135806E-02 
        99  4.970304072E-01 -3.381129063E-04 -3.415299771E-01  6.040965680E-02 
       100 -5.000000000E-01  0.000000000E+00 -1.717429668E-01  8.823253883E-01 
       101  5.000000000E-01  0.000000000E+00 -3.716540043E-01  9.809777868E-02 
       102  4.970304668E-01  7.202737033E-04 -3.648969304E-01  9.525891297E-02 
       103  4.937012494E-01  1.519259415E-03 -3.439966558E-01  7.028240372E-02 
       104  4.900090992E-01  2.394983778E-03 -3.409487854E-01  6.374840416E-02 
       105 -4.997532666E-01  3.027264494E-03  1.915780779E-01  7.616759602E-01 
       106  4.859513938E-01  3.345148871E-03 -3.398981890E-01  6.144150809E-02 
       107  4.815261662E-01  4.367166199E-03 -3.389080053E-01  6.065644310E-02 
       108  4.767318964E-01  5.458110943E-03 -3.376803945E-01  6.044054356E-02 
       109 -4.990133643E-01  6.050519180E-03  4.775955956E-01  6.260762975E-01 
       110  4.715678096E-01  6.614865735E-03 -3.362354436E-01  6.049077117E-02 
       111  4.660336077E-01  7.834118791E-03 -3.345905611E-01  6.068109066E-02 
       112 -4.978022575E-01  9.022734128E-03  7.064211187E-01  4.902858963E-01 
       113  4.601296484E-01  9.112386964E-03 -3.327540737E-01  6.094756638E-02 
       114  4.538567364E-01  1.044614054E-02 -3.307281122E-01  6.125608887E-02 
       115  4.472163916E-01  1.183174737E-02 -3.285111181E-01  6.158711932E-02 
       116 -4.961394370E-01  1.194464508E-02  8.764404236E-01  3.624265272E-01 
       117  4.402105510E-01  1.326562278E-02 -3.260995427E-01  6.192863462E-02 
       118  4.328417778E-01  1.474419516E-02 -3.234894418E-01  6.227227854E-02 
       119 -4.940359890E-01  1.482449938E-02  9.899159780E-01  2.494582104E-01 
       120  4.251131713E-01  1.626393571E-02 -3.206777247E-01  6.261166202E-02 
       121 -4.914970994E-01  1.766939834E-02  1.054842209E+00  1.558523596E-01 
       122  4.170282781E-01  1.782147214E-02 -3.176627350E-01  6.294245348E-02 
       123  4.085913002E-01  1.941351779E-02 -3.144443899E-01  6.326143265E-02 
       124 -4.885247946E-01  2.048372477E-02  1.086017216E+00  8.173453487E-02 
       125  3.998067975E-01  2.103693970E-02 -3.110244172E-01  6.356629418E-02 
       126  3.906799555E-01  2.268878371E-02 -3.074064028E-01  6.385612279E-02 
       127 -4.851200283E-01  2.326918580E-02  1.092552388E+00  2.599851008E-02 
       128  3.812163770E-01  2.436624095E-02 -3.035954668E-01  6.413078901E-02 
       129 -4.812836945E-01  2.602553554E-02  1.081108011E+00  2.080533904E-02 
