nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -5.199198987E-01  3.945870083E-02 
         2 -2.714446783E-01 -4.226166010E-02 -5.053916532E-01  3.676679359E-02 
         3 -2.963235974E-01 -4.224075377E-02 -5.349448268E-01  4.243703889E-02 
         4 -2.586256266E-01 -4.218071699E-02 -4.913032238E-01  3.433342476E-02 
         5 -3.083600998E-01 -4.213083908E-02 -5.504799896E-01  4.574515239E-02 
         6 -2.455694675E-01 -4.204400629E-02 -4.776819838E-01  3.213382446E-02 
         7 -3.201129436E-01 -4.194915667E-02 -5.664527817E-01  4.942416497E-02 
         8 -2.322884947E-01 -4.185510427E-02 -4.645247573E-01  3.014101702E-02 
         9 -3.315711021E-01 -4.169164598E-02 -5.828525516E-01  5.351361439E-02 
        10 -2.187952399E-01 -4.161734879E-02 -4.518285712E-01  2.833280338E-02 
        11 -3.427239954E-01 -4.135438800E-02 -5.996493780E-01  5.806271690E-02 
        12 -2.051024437E-01 -4.133373499E-02 -4.395797102E-01  2.668814665E-02 
        13 -1.912230253E-01 -4.100695625E-02 -4.277652763E-01  2.518803019E-02 
        14 -3.535613120E-01 -4.093370214E-02 -6.168065056E-01  6.312739672E-02 
        15 -1.771701276E-01 -4.063934088E-02 -4.163707664E-01  2.381609935E-02 
        16 -3.640724421E-01 -4.042622447E-02 -6.342724192E-01  6.877177530E-02 
        17 -1.629570127E-01 -4.023287073E-02 -4.053805720E-01  2.255738238E-02 
        18 -3.742481470E-01 -3.982891887E-02 -6.519736145E-01  7.506913387E-02 
        19 -1.485971659E-01 -3.978922963E-02 -3.947798619E-01  2.139849035E-02 
        20 -1.341041476E-01 -3.930979967E-02 -3.845524620E-01  2.032762693E-02 
        21 -3.840791285E-01 -3.913921863E-02 -6.698210328E-01  8.210296723E-02 
        22 -1.194916666E-01 -3.879569471E-02 -3.746826285E-01  1.933427686E-02 
        23 -3.935564756E-01 -3.835509717E-02 -6.877067982E-01  8.997038559E-02 
        24 -1.047735587E-01 -3.824780881E-02 -3.651549465E-01  1.840915601E-02 
        25 -8.996371925E-02 -3.766696155E-02 -3.559540779E-01  1.754435109E-02 
        26 -4.026716352E-01 -3.747503087E-02 -7.054939120E-01  9.878460499E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.470663002E-01  1.673283005E-02 
        28 -4.114164710E-01 -3.649814054E-02 -7.230118803E-01  1.086785470E-01 
        29 -6.012484059E-02 -3.640896827E-02 -3.384772201E-01  1.596857856E-02 
        30 -4.512390867E-02 -3.573317826E-02 -3.301741855E-01  1.524654541E-02 
        31 -4.197832644E-01 -3.542415425E-02 -7.400479548E-01  1.198096140E-01 
        32 -3.008742630E-02 -3.502721712E-02 -3.221445795E-01  1.456248178E-02 
        33 -1.502949465E-02 -3.429204226E-02 -3.143768737E-01  1.391313042E-02 
        34 -4.277647436E-01 -3.425348923E-02 -7.563376059E-01  1.323648889E-01 
        35  3.580834164E-05 -3.352881595E-02 -3.068616337E-01  1.329565414E-02 
