nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -5.652791963E-01  2.587331433E-02 
         2 -2.714446783E-01 -4.226166010E-02 -5.485472534E-01  2.352596193E-02 
         3 -2.963235974E-01 -4.224075377E-02 -5.827227467E-01  2.849050573E-02 
         4 -2.586256266E-01 -4.218071699E-02 -5.324576793E-01  2.141527512E-02 
         5 -3.083600998E-01 -4.213083908E-02 -6.008908990E-01  3.141852800E-02 
         6 -2.455694675E-01 -4.204400629E-02 -5.169803174E-01  1.951782431E-02 
         7 -3.201129436E-01 -4.194915667E-02 -6.197454547E-01  3.469528628E-02 
         8 -2.322884947E-01 -4.185510427E-02 -5.021037438E-01  1.781088527E-02 
         9 -3.315711021E-01 -4.169164598E-02 -6.393024286E-01  3.836225824E-02 
        10 -2.187952399E-01 -4.161734879E-02 -4.878274774E-01  1.627131552E-02 
        11 -3.427239954E-01 -4.135438800E-02 -6.595618509E-01  4.246977207E-02 
        12 -2.051024437E-01 -4.133373499E-02 -4.741207168E-01  1.487942499E-02 
        13 -1.912230253E-01 -4.100695625E-02 -4.609585740E-01  1.361823137E-02 
        14 -3.535613120E-01 -4.093370214E-02 -6.805206411E-01  4.707516264E-02 
        15 -1.771701276E-01 -4.063934088E-02 -4.483169183E-01  1.247212159E-02 
        16 -3.640724421E-01 -4.042622447E-02 -7.021627337E-01  5.224480704E-02 
        17 -1.629570127E-01 -4.023287073E-02 -4.361725892E-01  1.142762811E-02 
        18 -3.742481470E-01 -3.982891887E-02 -7.244529855E-01  5.805482027E-02 
        19 -1.485971659E-01 -3.978922963E-02 -4.245031409E-01  1.047268908E-02 
        20 -1.341041476E-01 -3.930979967E-02 -4.132865006E-01  9.596853063E-03 
        21 -3.840791285E-01 -3.913921863E-02 -7.473452575E-01  6.459234250E-02 
        22 -1.194916666E-01 -3.879569471E-02 -4.025024241E-01  8.790784267E-03 
        23 -3.935564756E-01 -3.835509717E-02 -7.707779665E-01  7.195944285E-02 
        24 -1.047735587E-01 -3.824780881E-02 -3.921304776E-01  8.046376296E-03 
        25 -8.996371925E-02 -3.766696155E-02 -3.821522508E-01  7.356734735E-03 
        26 -4.026716352E-01 -3.747503087E-02 -7.946650839E-01  8.027610086E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.725504386E-01  6.715707506E-03 
        28 -4.114164710E-01 -3.649814054E-02 -8.188915463E-01  8.968424455E-02 
        29 -6.012484059E-02 -3.640896827E-02 -3.633078981E-01  6.118073455E-03 
        30 -4.512390867E-02 -3.573317826E-02 -3.544092222E-01  5.559517946E-03 
        31 -4.197832644E-01 -3.542415425E-02 -8.433058817E-01  1.003533472E-01 
        32 -3.008742630E-02 -3.502721712E-02 -3.458407607E-01  5.036204182E-03 
        33 -1.502949465E-02 -3.429204226E-02 -3.375882704E-01  4.544927470E-03 
        34 -4.277647436E-01 -3.425348923E-02 -8.677096966E-01  1.124867937E-01 
        35  3.580834164E-05 -3.352881595E-02 -3.296384507E-01  4.083400485E-03 
        36 -4.353540540E-01 -3.298716620E-02 -8.918442070E-01  1.263303144E-01 
        37  1.509429049E-02 -3.273893893E-02 -3.219819772E-01  3.649451686E-03 
        38  3.013208508E-02 -3.192408383E-02 -3.146071934E-01  3.240878986E-03 
        39 -4.425447881E-01 -3.162691370E-02 -9.153703592E-01  1.421839727E-01 
        40  4.513527080E-02 -3.108621016E-02 -3.075020297E-01  2.856223597E-03 
        41  6.009000912E-02 -3.022756800E-02 -3.006563610E-01  2.494699513E-03 
        42 -4.493310452E-01 -3.017505258E-02 -9.378330897E-01  1.604133438E-01 
        43  7.498254627E-02 -2.935070172E-02 -2.940637700E-01  2.155190730E-03 
        44 -4.557074606E-01 -2.863452956E-02 -9.586350674E-01  1.814657112E-01 
        45  8.979925513E-02 -2.845839225E-02 -2.877142968E-01  1.836531777E-03 
        46  1.045266315E-01 -2.755367383E-02 -2.815998981E-01  1.538174196E-03 
        47 -4.616691172E-01 -2.700886689E-02 -9.769849917E-01  2.058923372E-01 
        48  1.191513166E-01 -2.663973905E-02 -2.757154586E-01  1.258934759E-03 
        49  1.336601228E-01 -2.571990341E-02 -2.700495019E-01  9.980177017E-04 
        50 -4.672116637E-01 -2.530207112E-02 -9.918051335E-01  2.343795333E-01 
        51  1.480400264E-01 -2.479755506E-02 -2.645965395E-01  7.552402027E-04 
        52  1.622782052E-01 -2.387607098E-02 -2.593517102E-01  5.293568272E-04 
        53 -4.723313749E-01 -2.351857908E-02 -1.001612743E+00  2.677417852E-01 
        54  1.763620377E-01 -2.295874432E-02 -2.543052322E-01  3.194745995E-04 
        55  1.902790964E-01 -2.204874158E-02 -2.494517321E-01  1.258043044E-04 
        56 -4.770250618E-01 -2.166313864E-02 -1.004339073E+00  3.069709547E-01 
        57  2.040172368E-01 -2.114900947E-02 -2.447861030E-01  8.540129808E-05 
        58  2.175645083E-01 -2.026221529E-02 -2.403023089E-01  2.152679023E-04 
        59 -4.812902212E-01 -1.974073239E-02 -9.971654844E-01  3.531181939E-01 
        60  2.309092581E-01 -1.939071715E-02 -2.359972693E-01  3.656440148E-04 
        61  2.440401018E-01 -1.853648201E-02 -2.318579004E-01  5.045275098E-04 
        62 -4.851250350E-01 -1.775623858E-02 -9.760564270E-01  4.075359639E-01 
