nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02  4.256506370E-01  9.448449295E-02 
         2 -2.714446783E-01 -4.226166010E-02  4.073175226E-01  9.269135227E-02 
         3 -2.963235974E-01 -4.224075377E-02  4.447425235E-01  9.638489416E-02 
         4 -2.586256266E-01 -4.218071699E-02  3.896812018E-01  9.100951203E-02 
         5 -3.083600998E-01 -4.213083908E-02  4.646677208E-01  9.838692201E-02 
         6 -2.455694675E-01 -4.204400629E-02  3.726648958E-01  8.944043655E-02 
         7 -3.201129436E-01 -4.194915667E-02  4.855204159E-01  1.004808598E-01 
         8 -2.322884947E-01 -4.185510427E-02  3.562031084E-01  8.798265827E-02 
         9 -3.315711021E-01 -4.169164598E-02  5.073813584E-01  1.026518204E-01 
        10 -2.187952399E-01 -4.161734879E-02  3.402378848E-01  8.663310291E-02 
        11 -3.427239954E-01 -4.135438800E-02  5.303358974E-01  1.048801709E-01 
        12 -2.051024437E-01 -4.133373499E-02  3.247167289E-01  8.538747767E-02 
        13 -1.912230253E-01 -4.100695625E-02  3.095927607E-01  8.424060696E-02 
        14 -3.535613120E-01 -4.093370214E-02  5.544698998E-01  1.071397134E-01 
        15 -1.771701276E-01 -4.063934088E-02  2.948245888E-01  8.318632006E-02 
        16 -3.640724421E-01 -4.042622447E-02  5.798635924E-01  1.093952083E-01 
        17 -1.629570127E-01 -4.023287073E-02  2.803767517E-01  8.221765818E-02 
        18 -3.742481470E-01 -3.982891887E-02  6.065909834E-01  1.116014060E-01 
        19 -1.485971659E-01 -3.978922963E-02  2.662195492E-01  8.132778131E-02 
        20 -1.341041476E-01 -3.930979967E-02  2.523281244E-01  8.050980954E-02 
        21 -3.840791285E-01 -3.913921863E-02  6.347218404E-01  1.137001964E-01 
        22 -1.194916666E-01 -3.879569471E-02  2.386822345E-01  7.975637371E-02 
        23 -3.935564756E-01 -3.835509717E-02  6.643160030E-01  1.156131219E-01 
        24 -1.047735587E-01 -3.824780881E-02  2.252661540E-01  7.906066800E-02 
        25 -8.996371925E-02 -3.766696155E-02  2.120678584E-01  7.841665043E-02 
        26 -4.026716352E-01 -3.747503087E-02  6.954099418E-01  1.172333644E-01 
        27 -7.507614046E-02 -3.705378622E-02  1.990785376E-01  7.781830173E-02 
        28 -4.114164710E-01 -3.649814054E-02  7.279860651E-01  1.184243779E-01 
        29 -6.012484059E-02 -3.640896827E-02  1.862920037E-01  7.726047621E-02 
        30 -4.512390867E-02 -3.573317826E-02  1.737040555E-01  7.673877230E-02 
        31 -4.197832644E-01 -3.542415425E-02  7.619177772E-01  1.190432666E-01 
        32 -3.008742630E-02 -3.502721712E-02  1.613119854E-01  7.624955385E-02 
        33 -1.502949465E-02 -3.429204226E-02  1.491140900E-01  7.579043562E-02 
        34 -4.277647436E-01 -3.425348923E-02  7.971499933E-01  1.189209582E-01 
        35  3.580834164E-05 -3.352881595E-02  1.371080178E-01  7.535981292E-02 
        36 -4.353540540E-01 -3.298716620E-02  8.336306969E-01  1.177880907E-01 
        37  1.509429049E-02 -3.273893893E-02  1.252917952E-01  7.495690057E-02 
        38  3.013208508E-02 -3.192408383E-02  1.136627328E-01  7.458205722E-02 
        39 -4.425447881E-01 -3.162691370E-02  8.710736410E-01  1.152754246E-01 
        40  4.513527080E-02 -3.108621016E-02  1.022160232E-01  7.423651186E-02 
        41  6.009000912E-02 -3.022756800E-02  9.094561505E-02  7.392226464E-02 
        42 -4.493310452E-01 -3.017505258E-02  9.090391904E-01  1.109363666E-01 
