nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02 -5.242323421E-01  6.549556368E-03 
         2 -2.714446783E-01 -4.226166010E-02 -5.093637068E-01  7.431411478E-03 
         3 -2.963235974E-01 -4.224075377E-02 -5.401330146E-01  5.487428995E-03 
         4 -2.586256266E-01 -4.218071699E-02 -4.954386367E-01  8.158302735E-03 
         5 -3.083600998E-01 -4.213083908E-02 -5.571340942E-01  4.214507032E-03 
         6 -2.455694675E-01 -4.204400629E-02 -4.823886834E-01  8.752446067E-03 
         7 -3.201129436E-01 -4.194915667E-02 -5.753074290E-01  2.694394373E-03 
         8 -2.322884947E-01 -4.185510427E-02 -4.701631146E-01  9.233284501E-03 
         9 -3.315711021E-01 -4.169164598E-02 -5.947889083E-01  9.701068691E-04 
        10 -2.187952399E-01 -4.161734879E-02 -4.587072774E-01  9.618222860E-03 
        11 -3.427239954E-01 -4.135438800E-02 -6.156557886E-01  1.262103887E-03 
        12 -2.051024437E-01 -4.133373499E-02 -4.479642165E-01  9.921672920E-03 
        13 -1.912230253E-01 -4.100695625E-02 -4.378859430E-01  1.015581771E-02 
        14 -3.535613120E-01 -4.093370214E-02 -6.379175610E-01  3.795341732E-03 
        15 -1.771701276E-01 -4.063934088E-02 -4.284262395E-01  1.033165762E-02 
        16 -3.640724421E-01 -4.042622447E-02 -6.616539549E-01  6.788328382E-03 
        17 -1.629570127E-01 -4.023287073E-02 -4.195378403E-01  1.045742718E-02 
        18 -3.742481470E-01 -3.982891887E-02 -6.869623791E-01  1.032497037E-02 
        19 -1.485971659E-01 -3.978922963E-02 -4.111881973E-01  1.054107304E-02 
        20 -1.341041476E-01 -3.930979967E-02 -4.033333329E-01  1.058956878E-02 
        21 -3.840791285E-01 -3.913921863E-02 -7.139191460E-01  1.449125609E-02 
        22 -1.194916666E-01 -3.879569471E-02 -3.959410515E-01  1.060737528E-02 
        23 -3.935564756E-01 -3.835509717E-02 -7.425950669E-01  1.938920089E-02 
        24 -1.047735587E-01 -3.824780881E-02 -3.889842989E-01  1.059977786E-02 
        25 -8.996371925E-02 -3.766696155E-02 -3.824291870E-01  1.057100538E-02 
        26 -4.026716352E-01 -3.747503087E-02 -7.730489712E-01  2.514298683E-02 
        27 -7.507614046E-02 -3.705378622E-02 -3.762510801E-01  1.052366337E-02 
        28 -4.114164710E-01 -3.649814054E-02 -8.053249132E-01  3.190201010E-02 
        29 -6.012484059E-02 -3.640896827E-02 -3.704294516E-01  1.046147499E-02 
        30 -4.512390867E-02 -3.573317826E-02 -3.649351869E-01  1.038709485E-02 
        31 -4.197832644E-01 -3.542415425E-02 -8.394464782E-01  3.984632852E-02 
        32 -3.008742630E-02 -3.502721712E-02 -3.597497920E-01  1.030177197E-02 
        33 -1.502949465E-02 -3.429204226E-02 -3.548577963E-01  1.020825603E-02 
        34 -4.277647436E-01 -3.425348923E-02 -8.754091621E-01  4.919434485E-02 
        35  3.580834164E-05 -3.352881595E-02 -3.502350356E-01  1.010851169E-02 
        36 -4.353540540E-01 -3.298716620E-02 -9.131701980E-01  6.021339185E-02 
        37  1.509429049E-02 -3.273893893E-02 -3.458655865E-01  1.000305049E-02 
        38  3.013208508E-02 -3.192408383E-02 -3.417347269E-01  9.892533465E-03 
        39 -4.425447881E-01 -3.162691370E-02 -9.526326368E-01  7.323447844E-02 
