nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.840146124E-01 -4.228299111E-02  2.547171529E-01  9.773012222E-02 
         2 -2.714446783E-01 -4.226166010E-02  2.393974989E-01  9.524254726E-02 
         3 -2.963235974E-01 -4.224075377E-02  2.708485268E-01  1.004014330E-01 
         4 -2.586256266E-01 -4.218071699E-02  2.248217094E-01  9.293376923E-02 
         5 -3.083600998E-01 -4.213083908E-02  2.878856158E-01  1.032622773E-01 
         6 -2.455694675E-01 -4.204400629E-02  2.108930728E-01  9.079714840E-02 
         7 -3.201129436E-01 -4.194915667E-02  3.059592283E-01  1.063159558E-01 
         8 -2.322884947E-01 -4.185510427E-02  1.975328149E-01  8.882365525E-02 
         9 -3.315711021E-01 -4.169164598E-02  3.251825175E-01  1.095613628E-01 
        10 -2.187952399E-01 -4.161734879E-02  1.846746057E-01  8.700368773E-02 
        11 -3.427239954E-01 -4.135438800E-02  3.456792865E-01  1.129946437E-01 
        12 -2.051024437E-01 -4.133373499E-02  1.722591794E-01  8.532715056E-02 
        13 -1.912230253E-01 -4.100695625E-02  1.602346425E-01  8.378376113E-02 
        14 -3.535613120E-01 -4.093370214E-02  3.675844299E-01  1.166073554E-01 
        15 -1.771701276E-01 -4.063934088E-02  1.485562719E-01  8.236294674E-02 
        16 -3.640724421E-01 -4.042622447E-02  3.910321825E-01  1.203846099E-01 
        17 -1.629570127E-01 -4.023287073E-02  1.371860894E-01  8.105398484E-02 
        18 -3.742481470E-01 -3.982891887E-02  4.161640298E-01  1.243057560E-01 
        19 -1.485971659E-01 -3.978922963E-02  1.260923971E-01  7.984672168E-02 
        20 -1.341041476E-01 -3.930979967E-02  1.152491338E-01  7.873135045E-02 
        21 -3.840791285E-01 -3.913921863E-02  4.431313187E-01  1.283412253E-01 
        22 -1.194916666E-01 -3.879569471E-02  1.046354397E-01  7.769800315E-02 
        23 -3.935564756E-01 -3.835509717E-02  4.720816499E-01  1.324483098E-01 
