nodenumber     x-coordinate     y-coordinate pressure-coefficient skin-friction-coef 
         1 -2.455694675E-01 -3.286067024E-02 -2.754226870E-01  2.194334931E-02 
         2 -2.586256266E-01 -3.285691515E-02 -2.825199845E-01  2.279612565E-02 
         3 -2.322884947E-01 -3.282580525E-02 -2.685973141E-01  2.116819655E-02 
         4 -2.714446783E-01 -3.281295300E-02 -2.898948821E-01  2.373817169E-02 
         5 -2.187952399E-01 -3.275353089E-02 -2.620316687E-01  2.046096359E-02 
         6 -2.840146124E-01 -3.272680193E-02 -2.975331479E-01  2.478239595E-02 
         7 -2.051024437E-01 -3.264460713E-02 -2.557226401E-01  1.981198848E-02 
         8 -2.963235974E-01 -3.259623796E-02 -3.054203181E-01  2.594118011E-02 
         9 -1.912230253E-01 -3.249935433E-02 -2.496604424E-01  1.921170686E-02 
        10 -3.083600998E-01 -3.241875768E-02 -3.135402160E-01  2.722771188E-02 
        11 -1.771701276E-01 -3.231764957E-02 -2.438279875E-01  1.865104203E-02 
        12 -3.201129436E-01 -3.219171613E-02 -3.218680123E-01  2.865662002E-02 
        13 -1.629570127E-01 -3.209890425E-02 -2.382052621E-01  1.812150397E-02 
        14 -3.315711021E-01 -3.191239387E-02 -3.303727531E-01  3.024384171E-02 
        15 -1.485971659E-01 -3.184215724E-02 -2.327694322E-01  1.761537993E-02 
        16 -3.427239954E-01 -3.157805279E-02 -3.390150084E-01  3.200699541E-02 
        17 -1.341041476E-01 -3.154607117E-02 -2.274956763E-01  1.712558561E-02 
        18 -1.194916666E-01 -3.120901808E-02 -2.223576684E-01  1.664555220E-02 
        19 -3.535613120E-01 -3.118605539E-02 -3.477470937E-01  3.396553954E-02 
        20 -1.047735587E-01 -3.082911298E-02 -2.173276939E-01  1.616947093E-02 
        21 -3.640724421E-01 -3.073393740E-02 -3.565118624E-01  3.614092780E-02 
        22 -8.996371925E-02 -3.040439822E-02 -2.123778019E-01  1.569248837E-02 
        23 -3.742481470E-01 -3.021941707E-02 -3.652420048E-01  3.855763703E-02 
        24 -7.507614046E-02 -2.993278950E-02 -2.074809707E-01  1.521059172E-02 
        25 -3.840791285E-01 -2.964053676E-02 -3.738589175E-01  4.124384395E-02 
        26 -6.012484059E-02 -2.941232547E-02 -2.026116937E-01  1.472066795E-02 
        27 -3.935564756E-01 -2.899571694E-02 -3.822725790E-01  4.423246326E-02 
        28 -4.512390867E-02 -2.884114720E-02 -1.977466058E-01  1.422051351E-02 
        29 -4.026716352E-01 -2.828373760E-02 -3.903788162E-01  4.756324792E-02 
        30 -3.008742630E-02 -2.821768820E-02 -1.928652271E-01  1.370895961E-02 
        31 -1.502949465E-02 -2.754075080E-02 -1.879509613E-01  1.318589103E-02 
        32 -4.114164710E-01 -2.750386111E-02 -3.980484764E-01  5.128327562E-02 
        33  3.580834164E-05 -2.680957317E-02 -1.829914898E-01  1.265208101E-02 
        34 -4.197832644E-01 -2.665579692E-02 -4.051363023E-01  5.544986562E-02 
        35  1.509429049E-02 -2.602396533E-02 -1.779793783E-01  1.210919368E-02 
        36 -4.277647436E-01 -2.573977038E-02 -4.114620700E-01  6.013518509E-02 
        37  3.013208508E-02 -2.518432960E-02 -1.729116477E-01  1.155967343E-02 
        38 -4.353540540E-01 -2.475646697E-02 -4.167890689E-01  6.542209368E-02 
        39  4.513527080E-02 -2.429175377E-02 -1.677903318E-01  1.100658270E-02 
        40 -4.425447881E-01 -2.370709926E-02 -4.208753121E-01  7.142641937E-02 
        41  6.009000912E-02 -2.334805951E-02 -1.626218607E-01  1.045347358E-02 
        42 -4.493310452E-01 -2.259332500E-02 -4.233457754E-01  7.827475649E-02 
        43  7.498254627E-02 -2.235582285E-02 -1.574165560E-01  9.904295255E-03 
        44 -4.557074606E-01 -2.141726576E-02 -4.237522342E-01  8.612662485E-02 
        45  8.979925513E-02 -2.131836675E-02 -1.521886199E-01  9.363141444E-03 
        46  1.045266315E-01 -2.023979276E-02 -1.469544130E-01  8.834171478E-03 
        47 -4.616691172E-01 -2.018145844E-02 -4.215064216E-01  9.521960616E-02 
        48  1.191513166E-01 -1.912491210E-02 -1.417328420E-01  8.321419230E-03 
        49 -4.672116637E-01 -1.888880134E-02 -4.157998298E-01  1.058347908E-01 
        50  1.336601228E-01 -1.797920838E-02 -1.365436453E-01  7.828561930E-03 
        51 -4.723313749E-01 -1.754247770E-02 -4.055962970E-01  1.183131430E-01 
        52  1.480400264E-01 -1.680879481E-02 -1.314066021E-01  7.359016688E-03 
        53 -4.770250618E-01 -1.614590175E-02 -3.894382215E-01  1.331216910E-01 
        54  1.622782052E-01 -1.562032104E-02 -1.263418397E-01  6.915703531E-03 
        55 -4.812902212E-01 -1.470261812E-02 -3.651732347E-01  1.508539552E-01 
        56  1.763620377E-01 -1.442085207E-02 -1.213676122E-01  6.501036096E-03 
        57  1.902790964E-01 -1.321782544E-02 -1.165013531E-01  6.117021460E-03 
        58 -4.851250350E-01 -1.321608201E-02 -3.297432706E-01  1.721809613E-01 
        59  2.040172368E-01 -1.201888546E-02 -1.117585990E-01  5.765074325E-03 
        60 -4.885282218E-01 -1.168951020E-02 -2.787699974E-01  1.978277909E-01 
        61  2.175645083E-01 -1.083176769E-02 -1.071524515E-01  5.446205059E-03 
        62 -4.914990962E-01 -1.012546197E-02 -2.057642523E-01  2.283634159E-01 
        63  2.309092581E-01 -9.664211422E-03 -1.026946107E-01  5.161021165E-03 
        64 -4.940368831E-01 -8.525482379E-03 -1.018386716E-01  2.637180606E-01 
        65  2.440401018E-01 -8.523780853E-03 -9.839438200E-02  4.909669183E-03 
        66  2.569459379E-01 -7.417811081E-03 -9.425886390E-02  4.692096352E-03 
        67 -4.961396158E-01 -6.889652926E-03  4.622523498E-02  3.001488434E-01 
        68  2.696159482E-01 -6.353240460E-03 -9.029377211E-02  4.508074658E-03 
        69  2.820396721E-01 -5.336508155E-03 -8.650345331E-02  4.357111003E-03 
        70 -4.978021979E-01 -5.216446240E-03  2.452395792E-01  3.261226695E-01 
        71  2.942069471E-01 -4.373472184E-03 -8.289065104E-02  4.238595451E-03 
        72 -4.990133345E-01 -3.503924236E-03  4.847062130E-01  3.220633944E-01 
        73  3.061079085E-01 -3.469346091E-03 -7.945718106E-02  4.151905026E-03 
        74  3.177331090E-01 -2.628562972E-03 -7.620413636E-02  4.096379634E-03 
        75  3.290735483E-01 -1.854775473E-03 -7.313196944E-02  4.071370290E-03 
        76 -4.997532666E-01 -1.754883793E-03  7.249548272E-01  2.699747271E-01 
        77  3.401204944E-01 -1.150792465E-03 -7.024078356E-02  4.076265287E-03 
        78  3.508657217E-01 -5.185566843E-04 -6.753045586E-02  4.110479938E-03 
        79 -5.000000000E-01  0.000000000E+00  8.984444877E-01  1.800598941E-01 
        80  5.000000000E-01  0.000000000E+00 -5.663383926E-02  1.385046442E-02 
        81  3.613013029E-01  4.085898399E-05 -6.500078263E-02  4.173460276E-03 
        82  4.970304072E-01  1.871270651E-04 -5.135986533E-02  1.496271242E-02 
        83  4.937011302E-01  3.854765673E-04 -4.867400229E-02  1.101946472E-02 
        84  3.714197874E-01  5.272440612E-04 -6.265149503E-02  4.264667277E-03 
        85  4.900089204E-01  5.914435023E-04 -4.844446647E-02  9.714228522E-03 
        86  4.970304668E-01  5.975412205E-04 -5.756006417E-02  7.143311392E-03 
        87  4.859511554E-01  8.010170423E-04 -4.830568035E-02  9.109455368E-03 
        88  3.812142015E-01  9.412411600E-04 -6.048224654E-02  4.383563475E-03 
        89  4.815258086E-01  1.009796746E-03 -4.813413878E-02  8.629096663E-03 
        90  4.767314792E-01  1.213032519E-03 -4.802343836E-02  8.179801264E-03 
        91  4.937012494E-01  1.252846560E-03 -5.548601003E-02  3.454606146E-03 
        92  3.906779587E-01  1.284286380E-03 -5.849263070E-02  4.529612685E-03 
        93  4.715673029E-01  1.405694988E-03 -4.803094272E-02  7.753887691E-03 
        94  3.998049796E-01  1.558587886E-03 -5.668214206E-02  4.702275353E-03 
        95  4.660329819E-01  1.582501456E-03 -4.817438986E-02  7.348453066E-03 
        96  4.601289034E-01  1.737993676E-03 -4.846489691E-02  6.963652116E-03 
        97  4.085896015E-01  1.767041162E-03 -5.505018938E-02  4.901008885E-03 
        98  4.538559020E-01  1.866600476E-03 -4.890653437E-02  6.601437415E-03 
        99  4.170267582E-01  1.913175918E-03 -5.359614942E-02  5.125260881E-03 
       100  4.900090992E-01  1.962200040E-03 -5.645536639E-02  2.692357361E-03 
       101  4.472154081E-01  1.962710172E-03 -4.950855500E-02  6.260666227E-03 
       102 -4.997532666E-01  1.994780963E-03  1.004248095E+00  6.509640512E-02 
       103  4.251117706E-01  2.001074143E-03 -5.232034314E-02  5.373625674E-03 
       104  4.402094483E-01  2.020753920E-03 -5.027580687E-02  5.941681718E-03 
       105  4.328405559E-01  2.035288140E-03 -5.121358577E-02  5.645643738E-03 
       106  4.859513938E-01  2.721624449E-03 -5.778297672E-02  2.558014280E-03 
       107  4.815261662E-01  3.526975634E-03 -5.921743468E-02  2.641079755E-03 
       108 -4.990133643E-01  3.993448336E-03  1.026028373E+00  4.154527887E-02 
       109  4.767318964E-01  4.373977892E-03 -6.071933679E-02  2.796528987E-03 
       110  4.715678096E-01  5.258409306E-03 -6.230528207E-02  2.982231236E-03 
       111 -4.978022575E-01  5.970906001E-03  9.611562944E-01  1.072663958E-01 
       112  4.660336077E-01  6.176160183E-03 -6.398440766E-02  3.183926463E-03 
       113  4.601296484E-01  7.123317104E-03 -6.576029783E-02  3.395371375E-03 
       114 -4.961394370E-01  7.932615466E-03  8.481126148E-01  1.476771858E-01 
       115  4.538567364E-01  8.096300997E-03 -6.763335105E-02  3.613339157E-03 
       116  4.472163916E-01  9.091871791E-03 -6.960240329E-02  3.835611932E-03 
       117 -4.940359890E-01  9.888239205E-03  7.246027505E-01  1.625184237E-01 
       118  4.402105510E-01  1.010725554E-02 -7.166572310E-02  4.060328382E-03 
       119  4.328417778E-01  1.114013977E-02 -7.382148303E-02  4.285809165E-03 
       120 -4.914970994E-01  1.184598822E-02  6.079748927E-01  1.634226239E-01 
       121  4.251131713E-01  1.218868420E-02 -7.606818643E-02  4.510574530E-03 
       122  4.170282781E-01  1.325158961E-02 -7.840490788E-02  4.733461437E-03 
       123 -4.885247946E-01  1.381152682E-02  5.038775020E-01  1.578079414E-01 
       124  4.085913002E-01  1.432800293E-02 -8.083139968E-02  4.953641923E-03 
       125  3.998067975E-01  1.541752089E-02 -8.334827559E-02  5.170675554E-03 
       126 -4.851200283E-01  1.578792185E-02  4.127267853E-01  1.496133298E-01 
       127  3.906799555E-01  1.652014442E-02 -8.595693501E-02  5.384572378E-03 
       128  3.812163770E-01  1.763617992E-02 -8.865958250E-02  5.595774317E-03 
       129 -4.812836945E-01  1.777601801E-02  3.331964865E-01  1.407655534E-01 
       130  3.714221418E-01  1.876618713E-02 -9.145909600E-02  5.805148327E-03 
       131 -4.770171046E-01  1.977483928E-02  2.634892120E-01  1.321661436E-01 
       132  3.613038361E-01  1.991085149E-02 -9.435886738E-02  6.013936720E-03 
       133  3.508684337E-01  2.107089572E-02 -9.736268452E-02  6.223732400E-03 
       134 -4.723221362E-01  2.178181708E-02  2.018728735E-01  1.241596219E-01 
       135  3.401234150E-01  2.224701270E-02 -1.004744572E-01  6.436467350E-03 
       136  3.290766776E-01  2.343970351E-02 -1.036979806E-01  6.654287423E-03 
       137 -4.672012925E-01  2.379306592E-02  1.469866409E-01  1.168137669E-01 
       138  3.177364469E-01  2.464922145E-02 -1.070367054E-01  6.879504033E-03 
       139 -4.616577625E-01  2.580348589E-02  9.782077002E-02  1.101123550E-01 
       140  3.061114550E-01  2.587548643E-02 -1.104934457E-01  7.114556219E-03 
       141  2.942107320E-01  2.711798623E-02 -1.140701925E-01  7.361883875E-03 
       142 -4.556952715E-01  2.780699730E-02  5.352039216E-02  1.040048981E-01 
       143  2.820436656E-01  2.837574109E-02 -1.177678125E-01  7.623897213E-03 
       144  2.696201801E-01  2.964724787E-02 -1.215858270E-01  7.902921201E-03 
       145 -4.493182003E-01  2.979664691E-02  1.345123389E-02  9.841741269E-02 
       146  2.569503784E-01  3.093045391E-02 -1.255223192E-01  8.201099547E-03 
       147 -4.425313771E-01  3.176485747E-02 -2.287736809E-02  9.327518723E-02 
       148  2.440447956E-01  3.222277388E-02 -1.295735326E-01  8.520333948E-03 
       149  2.309141904E-01  3.352110088E-02 -1.337340263E-01  8.862233673E-03 
       150 -4.353401959E-01  3.370352089E-02 -5.582455266E-02  8.851093198E-02 
       151  2.175696790E-01  3.482184559E-02 -1.379965154E-01  9.228087717E-03 
       152 -4.277505577E-01  3.560426086E-02 -8.568040856E-02  8.406533421E-02 
       153  2.040226460E-01  3.612098098E-02 -1.423516706E-01  9.618806938E-03 
       154  1.902847588E-01  3.741414100E-02 -1.467883718E-01  1.003486099E-02 
       155 -4.197688401E-01  3.745850548E-02 -1.126585281E-01  7.988599409E-02 
       156  1.763679385E-01  3.869666532E-02 -1.512939388E-01  1.047632317E-02 
       157 -4.114018679E-01  3.925788775E-02 -1.369307404E-01  7.593100873E-02 
       158  1.622843742E-01  3.996374086E-02 -1.558538864E-01  1.094283221E-02 
       159 -4.026569426E-01  4.099421576E-02 -1.586297174E-01  7.216891764E-02 
       160  1.480464488E-01  4.121045768E-02 -1.604527591E-01  1.143354990E-02 
       161  1.336667985E-01  4.243193194E-02 -1.650743509E-01  1.194726772E-02 
       162 -3.935417831E-01  4.265980422E-02 -1.778838173E-01  6.857560818E-02 
       163  1.191582531E-01  4.362341017E-02 -1.697020653E-01  1.248248367E-02 
       164 -3.840644658E-01  4.424751550E-02 -1.947978227E-01  6.513498375E-02 
       165  1.045338213E-01  4.478035122E-02 -1.743196589E-01  1.303743977E-02 
       166 -3.742335737E-01  4.575103521E-02 -2.094963604E-01  6.183577861E-02 
       167  8.980670571E-02  4.589847848E-02 -1.789116851E-01  1.361022174E-02 
       168  7.499026507E-02  4.697389528E-02 -1.834639251E-01  1.419894357E-02 
       169 -3.640580177E-01  4.716481641E-02 -2.220840644E-01  5.867082517E-02 
       170  6.009799615E-02  4.800311476E-02 -1.879641243E-01  1.480182573E-02 
       171 -3.535470665E-01  4.848435521E-02 -2.326885842E-01  5.563821743E-02 
       172  4.514352977E-02  4.898305982E-02 -1.924023134E-01  1.541735935E-02 
       173 -3.427099586E-01  4.970608279E-02 -2.414376905E-01  5.273761953E-02 
       174  3.014061600E-02  4.991114140E-02 -1.967709597E-01  1.604449312E-02 
       175  1.510309801E-02  5.078516901E-02 -2.010655140E-01  1.668271445E-02 
       176 -3.315572143E-01  5.082743987E-02 -2.484681205E-01  4.997217200E-02 
       177  4.489277853E-05  5.160337687E-02 -2.052840274E-01  1.733225377E-02 
       178 -3.200992048E-01  5.184689164E-02 -2.539295110E-01  4.734419675E-02 
       179 -1.502013020E-02  5.236437172E-02 -2.094269635E-01  1.799425441E-02 
       180 -3.083465099E-01  5.276388302E-02 -2.579650858E-01  4.485600594E-02 
       181 -3.007778712E-02  5.306705087E-02 -2.134962389E-01  1.867074479E-02 
       182 -2.963101566E-01  5.357879773E-02 -2.607294964E-01  4.250933421E-02 
       183 -4.511399940E-02  5.371051282E-02 -2.174951840E-01  1.936451722E-02 
       184 -2.840012908E-01  5.429280549E-02 -2.623783414E-01  4.029505914E-02 
       185 -6.011467054E-02  5.429399014E-02 -2.214279586E-01  2.007944671E-02 
       186 -7.506570965E-02  5.481683463E-02 -2.252980008E-01  2.082063092E-02 
       187 -2.714315355E-01  5.490782857E-02 -2.630475745E-01  3.822751555E-02 
       188 -8.995304257E-02  5.527827144E-02 -2.291066821E-01  2.159396799E-02 
       189 -2.586126029E-01  5.542632937E-02 -2.628535919E-01  3.630607108E-02 
       190 -1.047626361E-01  5.567743257E-02 -2.328523835E-01  2.240607461E-02 
       191 -2.455565929E-01  5.585126579E-02 -2.619358015E-01  3.450941226E-02 
       192 -1.194805130E-01  5.601321906E-02 -2.365293921E-01  2.326446621E-02 
       193 -2.322757840E-01  5.618591607E-02 -2.604208576E-01  3.284114286E-02 
       194 -1.340927631E-01  5.628433451E-02 -2.401267094E-01  2.417741156E-02 
       195 -2.187826931E-01  5.643371493E-02 -2.584039926E-01  3.129730062E-02 
       196 -1.485855579E-01  5.648905411E-02 -2.436267284E-01  2.515354519E-02 
       197 -2.050900757E-01  5.659820884E-02 -2.559756058E-01  2.987056299E-02 
       198 -1.629452109E-01  5.662536621E-02 -2.470025339E-01  2.620189365E-02 
       199 -1.912108362E-01  5.668284744E-02 -2.532250187E-01  2.855211741E-02 
       200 -1.771581173E-01  5.669087172E-02 -2.502181028E-01  2.733194297E-02 
